voQEteh6Hko	Civilization-BONUS-Meet-Professor-Jiang
Jjqf9T59uY0	Civilization-01-Explaining-Humanitys-Transition-to-Agriculture
x1E5rRmCiT4	Civilization-02-Religion-and-the-Dawn-of-Society
VanPH0GFTsA	Civilization-03-The-Religious-Imagination
RaT_ZUDjHrM	Civilization-04-The-Paradise-Lost-of-Marija-Gimbutas
J4HTFJWl5D8	Civilization-05-The-Yamnaya-Conquest-of-Europe
QwfB-vXXKWU	Civilization-06-Elite-Overproduction-and-the-Bronze-Age-Collapse
677rmlRgvLQ	Civilization-07-Homers-Iliad-and-the-Birth-of-Greek-Civilization
NpNCQ_gNqdE	Civilization-08-Rat-Utopia-and-the-Peloponnesian-War
96hzWlozdHw	Civilization-09-Aeschylus-Sophocles-and-Euripides-as-Prophets-of-Democracy
LWlTtdNww_k	Civilization-10-The-Trial-of-Socrates-and-Platos-Allegory-of-the-Cave
l6AroD58jkE	Civilization-11-The-Greatness-of-Philip-II-of-Macedon
iTuRB48Of9Y	Civilization-12-The-Tyranny-of-Alexander-the-Great
WoTOxE4DTFA	Civilization-13-Aristotle-and-the-Greek-Legacy
TdcE7XGDayo	Civilization-14-Hannibal-Barca-Lucius-Brutus-and-the-Triumph-of-Rome
